#Temp	LTE cooling per molecule	Net cooling per molecule
1.41254e+05	1.01116e-18	2.44124e-11
1.49624e+05	9.79522e-19	2.45252e-11
1.58489e+05	9.50131e-19	2.46322e-11
1.67880e+05	9.22825e-19	2.47336e-11
1.77828e+05	8.97454e-19	2.48298e-11
1.88365e+05	8.73876e-19	2.49207e-11
1.99526e+05	8.51958e-19	2.50070e-11
2.11349e+05	8.31576e-19	2.50887e-11
2.23872e+05	8.12615e-19	2.51661e-11
2.37137e+05	7.94967e-19	2.52393e-11
2.51189e+05	7.78536e-19	2.53085e-11
2.66072e+05	7.63230e-19	2.53741e-11
2.81838e+05	7.48965e-19	2.54362e-11
2.98538e+05	7.35663e-19	2.54945e-11
3.16228e+05	7.23254e-19	2.55492e-11
3.34965e+05	7.11673e-19	2.56009e-11
3.54813e+05	7.00858e-19	2.56498e-11
3.75837e+05	6.90755e-19	2.56961e-11
3.98107e+05	6.81311e-19	2.57399e-11
4.21696e+05	6.72481e-19	2.57814e-11
4.46684e+05	6.64221e-19	2.58206e-11
4.73151e+05	6.56490e-19	2.58576e-11
5.01187e+05	6.49252e-19	2.58927e-11
5.30884e+05	6.42472e-19	2.59258e-11
5.62341e+05	6.36119e-19	2.59571e-11
5.95662e+05	6.30165e-19	2.59867e-11
6.30957e+05	6.24581e-19	2.60147e-11
6.68344e+05	6.19344e-19	2.60411e-11
7.07946e+05	6.14430e-19	2.60661e-11
7.49894e+05	6.09817e-19	2.60897e-11
7.94328e+05	6.05487e-19	2.61119e-11
8.41395e+05	6.01420e-19	2.61329e-11
8.91251e+05	5.97600e-19	2.61528e-11
9.44061e+05	5.94010e-19	2.61715e-11
1.00000e+06	5.90636e-19	2.61891e-11
1.05925e+06	5.87464e-19	2.62058e-11
1.12202e+06	5.84482e-19	2.62215e-11
1.18850e+06	5.81677e-19	2.62363e-11
1.25893e+06	5.79039e-19	2.62502e-11
1.33352e+06	5.76556e-19	2.62633e-11
1.41254e+06	5.74220e-19	2.62756e-11
1.49624e+06	5.72022e-19	2.62872e-11
1.58489e+06	5.69952e-19	2.62981e-11
1.67880e+06	5.68003e-19	2.63083e-11
1.77828e+06	5.66168e-19	2.63179e-11
1.88365e+06	5.64440e-19	2.63269e-11
1.99526e+06	5.62813e-19	2.63353e-11
2.11349e+06	5.61279e-19	2.63431e-11
2.23872e+06	5.59835e-19	2.63504e-11
2.37137e+06	5.58474e-19	2.63572e-11
2.51189e+06	5.57191e-19	2.63634e-11
2.66072e+06	5.55983e-19	2.63692e-11
2.81838e+06	5.54843e-19	2.63746e-11
2.98538e+06	5.53770e-19	2.63795e-11
3.16228e+06	5.52757e-19	2.63840e-11
3.34965e+06	5.51803e-19	2.63881e-11
3.54813e+06	5.50903e-19	2.63918e-11
3.75837e+06	5.50055e-19	2.63952e-11
3.98107e+06	5.49255e-19	2.63983e-11
4.21696e+06	5.48501e-19	2.64011e-11
4.46684e+06	5.47789e-19	2.64036e-11
4.73151e+06	5.47118e-19	2.64059e-11
5.01187e+06	5.46486e-19	2.64081e-11
5.30884e+06	5.45889e-19	2.64100e-11
5.62341e+06	5.45326e-19	2.64119e-11
5.95662e+06	5.44795e-19	2.64136e-11
6.30957e+06	5.44293e-19	2.64153e-11
6.68344e+06	5.43821e-19	2.64170e-11
7.07946e+06	5.43375e-19	2.64186e-11
7.49894e+06	5.42954e-19	2.64203e-11
7.94328e+06	5.42557e-19	2.64221e-11
8.41395e+06	5.42183e-19	2.64239e-11
8.91251e+06	5.41829e-19	2.64259e-11
9.44061e+06	5.41496e-19	2.64280e-11
1.00000e+07	5.41181e-19	2.64303e-11
1.05925e+07	5.40884e-19	2.64328e-11
1.12202e+07	5.40604e-19	2.64355e-11
1.18850e+07	5.40339e-19	2.64386e-11
1.25893e+07	5.40090e-19	2.64419e-11
1.33352e+07	5.39854e-19	2.64456e-11
1.41254e+07	5.39632e-19	2.64497e-11
1.49624e+07	5.39422e-19	2.64541e-11
1.58489e+07	5.39224e-19	2.64589e-11
1.67880e+07	5.39038e-19	2.64640e-11
1.77828e+07	5.38861e-19	2.64694e-11
1.88365e+07	5.38695e-19	2.64750e-11
1.99526e+07	5.38538e-19	2.64807e-11
2.11349e+07	5.38389e-19	2.64866e-11
2.23872e+07	5.38250e-19	2.64924e-11
2.37137e+07	5.38117e-19	2.64982e-11
