20061204
8	2	7.70E-01	9.03E-01	1.45E+00	1.95E+00	3.01E+00	3.85E+00	4.54E+00	5.13E+00
8	3	2.16E+00	2.26E+00	2.69E+00	3.08E+00	3.77E+00	4.21E+00	4.53E+00	4.76E+00
8	4	4.50E+00	5.95E+00	1.52E+01	2.57E+01	4.88E+01	6.71E+01	8.21E+01	9.46E+01
8	5	1.41E+01	2.07E+01	4.49E+01	6.19E+01	8.70E+01	1.01E+02	1.10E+02	1.16E+02
8	6	1.37E+01	1.55E+01	1.97E+01	2.19E+01	2.52E+01	2.74E+01	2.91E+01	3.05E+01
9	1	3.00E-02	3.19E-02	4.04E-02	4.72E-02	5.69E-02	6.15E-02	6.41E-02	6.56E-02
9	2	6.54E-01	7.54E-01	1.12E+00	1.41E+00	1.93E+00	2.25E+00	2.48E+00	2.65E+00
9	3	3.54E+00	4.31E+00	7.62E+00	1.06E+01	1.63E+01	2.04E+01	2.34E+01	2.60E+01
9	4	6.41E+00	1.01E+01	2.29E+01	3.24E+01	4.72E+01	5.56E+01	6.12E+01	6.51E+01
9	5	2.13E+01	3.13E+01	8.24E+01	1.34E+02	2.38E+02	3.17E+02	3.79E+02	4.30E+02
9	6	3.44E+01	4.61E+01	8.30E+01	1.07E+02	1.41E+02	1.58E+02	1.69E+02	1.76E+02
10	1	1.23E-02	1.14E-02	1.05E-02	1.05E-02	1.06E-02	1.04E-02	1.01E-02	9.80E-03
10	2	5.65E-01	7.38E-01	1.29E+00	1.62E+00	2.04E+00	2.21E+00	2.30E+00	2.34E+00
10	3	2.72E+00	3.21E+00	4.93E+00	6.09E+00	7.62E+00	8.33E+00	8.72E+00	8.95E+00
10	4	6.84E+00	1.06E+01	1.96E+01	2.48E+01	3.17E+01	3.53E+01	3.75E+01	3.90E+01
10	5	2.54E+01	4.09E+01	8.79E+01	1.19E+02	1.67E+02	1.94E+02	2.12E+02	2.24E+02
10	6	6.54E+01	1.12E+02	3.27E+02	5.18E+02	8.71E+02	1.12E+03	1.31E+03	1.46E+03
11	1	1.45E-02	1.72E-02	1.92E-02	1.93E-02	1.94E-02	1.97E-02	2.02E-02	2.07E-02
11	2	2.01E-01	2.13E-01	2.33E-01	2.64E-01	3.37E-01	3.92E-01	4.34E-01	4.66E-01
11	3	4.63E-01	5.10E-01	4.75E-01	4.38E-01	4.03E-01	3.97E-01	4.01E-01	4.07E-01
11	4	1.04E+00	1.59E+00	2.91E+00	3.58E+00	4.53E+00	5.10E+00	5.50E+00	5.80E+00
11	5	2.25E+00	2.58E+00	3.01E+00	3.24E+00	3.77E+00	4.22E+00	4.62E+00	4.96E+00
